,artist,title
0,Polo G,Rapstar
1,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
2,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
3,Lil Nas X,Montero (Call Me By Your Name)
4,Dua Lipa Featuring DaBaby,Levitating
5,The Weeknd,Save Your Tears
6,Masked Wolf,Astronaut In The Ocean
7,Doja Cat Featuring SZA,Kiss Me More
8,Cardi B,Up
9,Olivia Rodrigo,Drivers License
10,Olivia Rodrigo,Deja Vu
11,Young Thug & Gunna Featuring Drake,Solid
12,The Weeknd,Blinding Lights
13,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box
14,Saweetie Featuring Doja Cat,Best Friend
15,Lil Tjay Featuring 6LACK,Calling My Phone
16,Pop Smoke,What You Know Bout Love
17,Young Thug & Gunna,Ski
18,24kGoldn Featuring iann dior,Mood
19,Giveon,Heartbreak Anniversary
20,Gabby Barrett,The Good Ones
21,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes
22,Pooh Shiesty Featuring Lil Durk,Back In Blood
23,Chris Brown & Young Thug,Go Crazy
24,Tate McRae,You Broke Me First.
25,Ariana Grande,34+35
26,Machine Gun Kelly X blackbear,My Ex's Best Friend
27,Drake,What's Next
28,Bad Bunny & Jhay Cortez,Dakiti
29,Billie Eilish,Therefore I Am
30,The Kid LAROI,Without You
31,Lil Baby,On Me
32,Ariana Grande,Positions
33,Yung Bleu Featuring Drake,You're Mines Still
34,Luke Combs,Forever After All
35,Drake Featuring Lil Baby,Wants And Needs
36,Mooski,Track Star
37,Dua Lipa,We're Good
38,Glass Animals,Heat Waves
39,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
40,Eric Church,Hell Of A View
41,Jake Owen,Made For You
42,Coi Leray Featuring Lil Durk,No More Parties
43,SZA,Good Days
44,Chris Stapleton,Starting Over
45,Young Thug & Gunna Featuring Travis Scott,Diamonds Dancing
46,Travis Scott & HVME,Goosebumps
47,Rod Wave,Tombstone
48,Sam Hunt,Breaking Up Was Easy In The 90's
49,Tenille Arts,Somebody Like That
50,Doja Cat,Streets
51,Thomas Rhett,What's Your Country Song
52,Moneybagg Yo,Time Today
53,Kali Uchis,Telepatia
54,Megan Thee Stallion Featuring DaBaby,Cry Baby
55,Justin Bieber,Hold On
56,Rod Wave,Street Runner
57,Parmalee x Blanco Brown,Just The Way
58,Young Thug Featuring Lil Uzi Vert & Yung Kayo,Proud Of You
59,Taylor Swift,Willow
60,H.E.R.,Damage
61,Rod Wave Featuring Polo G,Richer
62,Dan + Shay,Glad You Exist
63,Bad Bunny & Rosalia,La Noche de Anoche
64,Miranda Lambert,Settling Down
65,Young Thug Featuring Rowdy Rebel,Came And Saw
66,"Lil Tjay, Polo G & Fivio Foreign",Headshot
67,Justin Bieber,Anyone
68,Luke Bryan,Down To One
69,Brett Young,Lady
70,Morray,Quicksand
71,Keith Urban Duet With P!nk,One Too Many
72,Chris Young + Kane Brown,Famous Friends
73,Dierks Bentley,Gone
74,Ava Max,My Head And My Heart
75,Jordan Davis,Almost Maybes
76,Young Thug & Gunna Featuring Lil Baby & YTB Trench,Paid The Fine
77,Tiesto,The Business
78,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
79,DaBaby,Masterpiece
80,Ariana Grande,pov
81,Florida Georgia Line,Long Live
82,Lil Durk,Hellcats & Trackhawks
83,Imagine Dragons,Follow You
84,Dustin Lynch,Momma's House
85,Dylan Scott,Nobody
86,Kevin Gates,Big Gangsta
87,Jazmine Sullivan,Pick Up Your Feelings
88,Nelly & Florida Georgia Line,Lil Bit
89,Taylor Swift,Mr. Perfectly Fine (Taylor's Version) (From The Vault)
90,Ryan Hurd With Maren Morris,Chasing After You
91,Morgan Wallen,Wasted On You
92,Lil Tjay Featuring Offset & Moneybagg Yo,Run It Up
93,Duncan Laurence,Arcade
94,VEDO,You Got It
95,Moneybagg Yo Featuring BIG30,Go!
96,Future & Lil Uzi Vert,Drankin N Smokin
97,All Time Low Featuring Demi Lovato & blackbear ,Monsters
98,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,Slatty
99,42 Dugg & Roddy Ricch,4 Da Gang
